no,stock_code,date,disclosure_class,title,summary,recommendation,confidence,ret_1d,dir_1d,res_1d,ret_5d,dir_5d,res_5d,reasoning,link
1,EKGYO,2016-04-08,ODA,Özel Durum Açıklaması (Genel),Yönetim Kurulu Bağımsız Üye Adayları hk.,NÖTR,5,3.1358775739493554,YÜKSELDİ,YANLIŞ,2.0905998256318905,YÜKSELDİ,YANLIŞ,Bağımsız üye adaylarının açıklanması rutin bir kurumsal yönetim işlemidir ve doğrudan finansal performansı etkileyen bir bilgi içermez.,https://www.kap.org.tr/tr/Bildirim/522386
2,GARAN,2023-05-15,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcı Katkı Sermaye Hesaplaması...,NÖTR,4,-9.597314612444828,DÜŞTÜ,YANLIŞ,-19.060395948813593,DÜŞTÜ,YANLIŞ,"Bildirim, şirketin nitelikli yatırımcılara yönelik tahvil ihraç edeceği ve kupon oranını açıklayacağına dair bir duyurudur. Bu, doğrudan hisse fiyatı üzerinde belirgin bir kısa vadeli etki yaratmayan, rutin bir sermaye piyasası işlemi açıklamasıdır. Tahvil ihraçları genellikle şirketin finansman ihtiyacını karşılamak veya maliyet avantajı sağlamak amacıyla yapılır ve hisse fiyatına doğrudan pozitif veya negatif bir yönde etkisi genellikle sınırlıdır. Kupon oranı açıklaması yatırımcılar için bilgi verici olabilir, ancak hisse alım/satım kararını doğrudan etkileyen bir faktör değildir.",https://www.kap.org.tr/tr/Bildirim/1151261
3,AKBNK,2019-10-10,ODA,İhraç Tavanına İlişkin Bildiri...,Yurt içi Borçlanma Aracı İhracı İçin Genel Mü...,NÖTR,4,-0.5501941755184161,YATAY,DOĞRU,-5.364494368534841,DÜŞTÜ,YANLIŞ,"Bankaların yurt içi borçlanma aracı ihracı için genel müdürlüğe yetki vermesi standart bir operasyonel prosedürdür ve şirketin finansman ihtiyacını karşılamak için rutin bir adımdır. Bu, kısa vadede hisse fiyatını doğrudan etkileyen önemli bir pozitif veya negatif sinyal olarak değerlendirilmez.",https://www.kap.org.tr/tr/Bildirim/791983
4,AKBNK,2019-10-07,ODA,Pay Dışında Sermaye Piyasası A...,27.08.2019 Tarihli Akbank Finansman Bonosu İt...,NÖTR,3,0.2583921631970508,YATAY,DOĞRU,-14.341089690600842,DÜŞTÜ,YANLIŞ,"Finansman bonosu itfası, şirketin kısa vadeli borç yükünü azaltarak nakit akışını iyileştirebilir; ancak bu tür finansman işlemleri hisse fiyatı üzerinde genellikle kısa vadede belirgin bir fiyat etkisi yaratmaz.",https://www.kap.org.tr/tr/Bildirim/790928
5,AKBNK,2020-04-21,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcılara Yapılan Finansman Bon...,NÖTR,4,0.17607402294777844,YATAY,DOĞRU,5.4577444463422,YÜKSELDİ,YANLIŞ,"Nitelikli yatırımcılara yapılan finansman bonosu ihracı, şirketin kısa vadeli likidite ihtiyaçlarını karşılamak veya mevcut fonlama yapısını çeşitlendirmek amacıyla gerçekleştirilen standart bir sermaye piyasası işlemidir. Bu tür operasyonlar genellikle şirketin genel finansal sağlığını olumsuz etkilemez ve hisse fiyatı üzerinde anlamlı, kalıcı bir yön belirleyici etki yaratmaz. Dolayısıyla piyasa açısından nötr bir gelişme olarak değerlendirilebilir.",https://www.kap.org.tr/tr/Bildirim/839592
6,EREGL,2023-05-15,ODA,Payların Geri Alınmasına İlişk...,15.05.2023 Tarihli Pay Geri Alım İşlemleri,AL,3,7.854788929885305,YÜKSELDİ,DOĞRU,2.310225902040507,YÜKSELDİ,DOĞRU,"Şirketin kendi paylarını geri alması, piyasadaki arzı azaltarak ve şirket yönetiminin hisse değerini düşük bulduğunun bir göstergesi olarak yorumlanarak kısa vadede olumlu fiyat baskısı yaratabilir.",https://www.kap.org.tr/tr/Bildirim/1151536
7,AKBNK,2018-08-28,ODA,Pay Dışında Sermaye Piyasası A...,09.07.2018 Tarihli Akbank Finansman Bonosu İt...,NÖTR,4,-1.3201206081832169,DÜŞTÜ,YANLIŞ,-3.9603795159514523,DÜŞTÜ,YANLIŞ,"İtfas (redemption) işlemi, şirketin mevcut bir borcunun (finansman bonosu) vadesi geldiği için ödenmesi anlamına gelir. Bu, operasyonel bir performans değişikliği değil, standart bir finansal yükümlülük ödemesidir. Kısa vadede hisse fiyatı üzerinde anlamlı bir pozitif veya negatif etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/705389
8,SISE,2020-04-27,ODA,Ayrılma Hakkı Kullanımına İliş...,"Şirketimizin Anadolu Cam, Denizli Cam, Paşaba...",NÖTR,3,-2.5193769051393358,DÜŞTÜ,YANLIŞ,-7.5581412497798315,DÜŞTÜ,YANLIŞ,"Ayrılma hakkı kullanımına ilişkin bildirim, birleşme sürecinin yasal gerekliliklerini yerine getirmek amacıyla yapılmış rutin bir KAP duyurusudur. Bu süreç hisse fiyatı üzerinde doğrudan bir alım veya satım baskısı oluşturmaz; fiyat hareketi, birleşme işlemi tamamlanana kadar genel piyasa koşullarına ve birleşme haberinin ilk etkisine bağlı olacaktır.",https://www.kap.org.tr/tr/Bildirim/840428
9,GARAN,2018-08-09,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcı Finansman Bonosu Talep To...,NÖTR,3,-6.276748486732819,DÜŞTÜ,YANLIŞ,-17.546361172004776,DÜŞTÜ,YANLIŞ,"Nitelikli yatırımcılara yönelik finansman bonosu talep toplama duyurusu, şirketin kısa vadeli finansman ihtiyacını karşılamaya yönelik rutin bir işlem olabilir ve hisse fiyatına doğrudan güçlü bir olumlu/olumsuz sinyal vermez.",https://www.kap.org.tr/tr/Bildirim/701949
10,AKBNK,2019-10-02,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcılara Yapılan Finansman Bon...,NÖTR,4,-1.2690383162093448,DÜŞTÜ,YANLIŞ,-5.329954706311975,DÜŞTÜ,YANLIŞ,"Bankacılık sektöründe finansman bonosu ihracı, likidite yönetimi ve fonlama ihtiyacının karşılanması için standart ve rutin bir operasyondur. Nitelikli yatırımcılara yönelik olması, piyasadaki genel algıyı önemli ölçüde değiştirmeyen rutin bir finansman işlemidir. Kısa vadede hisse fiyatı üzerinde belirgin bir pozitif veya negatif etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/789602
