date,category,title,description,price_pre_30d,price_event_t0,price_post_5d,price_post_30d,pre_30d_return_pct,event_jump_pct,post_5d_return_pct,post_30d_return_pct
2002-11-03,SEÇİM,3 Kasım 2002 Genel Seçimleri,Tek parti iktidarı başlangıcı.,90.01,108.44,127.74,132.87,20.48,16.54,17.79,22.53
2004-03-28,SEÇİM,28 Mart 2004 Yerel Seçimleri,Mahalli idareler genel seçimi.,187.72,208.87,203.31,177.38,11.27,-2.16,-2.66,-15.08
2007-07-22,SEÇİM,22 Temmuz 2007 Genel Seçimleri,Erken genel seçimler.,459.52,556.25,514.59,468.82,21.05,3.01,-7.49,-15.72
2007-10-21,REFERANDUM,21 Ekim 2007 Anayasa Referandumu,Cumhurbaşkanının halk tarafından seçilmesi referandumu.,505.36,539.7,567.74,521.99,6.79,-0.92,5.2,-3.28
2009-03-29,SEÇİM,29 Mart 2009 Yerel Seçimleri,Küresel kriz sonrası yerel seçimler.,241.68,251.43,266.51,316.52,4.03,1.4,5.99,25.88
2010-01-14,FAİZ_SABİT,TCMB PPK (Faiz %6.50 Sabit),,504.49,547.4,553.01,513.34,8.51,-1.14,1.02,-6.22
2010-02-18,FAİZ_SABİT,TCMB PPK (Faiz %6.50 Sabit),,554.69,524.5,487.39,538.92,-5.44,0.09,-7.07,2.75
2010-03-18,FAİZ_SABİT,TCMB PPK (Faiz %6.50 Sabit),,532.73,535.34,570.44,581.53,0.49,-1.6,6.56,8.63
2010-04-15,FAİZ_SABİT,TCMB PPK (Faiz %6.50 Sabit),,543.03,590.55,583.38,569.78,8.75,-1.87,-1.21,-3.52
2010-05-18,FAİZ_ARTISI,TCMB PPK (Politika Faizi %7.00 Belirlendi),,582.23,569.78,541.03,570.34,-2.14,-2.89,-5.05,0.1
2010-06-17,FAİZ_SABİT,TCMB PPK (Faiz %7.00 Sabit),,569.78,568.91,559.15,581.14,-0.15,1.12,-1.71,2.15
2010-07-15,FAİZ_SABİT,TCMB PPK (Faiz %7.00 Sabit),,564.03,576.9,599.19,588.22,2.28,-0.98,3.86,1.96
2010-08-19,FAİZ_SABİT,TCMB PPK (Faiz %7.00 Sabit),,594.94,588.49,590.58,641.92,-1.08,-1.17,0.35,9.08
2010-09-12,REFERANDUM,12 Eylül 2010 Anayasa Referandumu,Kapsamlı anayasa değişiklik paketi.,598.85,622.6,642.89,701.67,3.96,2.85,3.26,12.7
2010-09-16,FAİZ_SABİT,TCMB PPK (Faiz %7.00 Sabit),,584.8,637.32,641.92,704.58,8.98,0.73,0.72,10.55
2010-10-14,FAİZ_SABİT,TCMB PPK (Faiz %7.00 Sabit),,633.97,692.25,704.5,679.26,9.19,-0.09,1.77,-1.88
2010-11-18,FAİZ_SABİT,TCMB PPK (Faiz %7.00 Sabit),,692.25,679.26,640.72,654.4,-1.88,-4.63,-5.67,-3.66
2010-12-16,FAİZ_INDIRIMI,TCMB PPK (Faiz %7.00'den %6.50'ye İndirildi),,700.85,644.29,662.19,668.31,-8.07,-3.02,2.78,3.73
2011-01-20,FAİZ_INDIRIMI,TCMB PPK (Faiz %6.50'den %6.25'e İndirildi),,654.4,652.88,650.38,651.29,-0.23,-0.81,-0.38,-0.24
2011-02-15,FAİZ_SABİT,TCMB PPK (Faiz %6.25 Sabit),,668.31,648.02,646.58,634.82,-3.04,1.23,-0.22,-2.04
2011-03-23,FAİZ_SABİT,TCMB PPK (Faiz %6.25 Sabit),,646.58,637.19,645.65,686.91,-1.45,-0.8,1.33,7.8
2011-04-21,FAİZ_SABİT,TCMB PPK (Faiz %6.25 Sabit),,637.19,685.65,684.4,645.61,7.61,0.94,-0.18,-5.84
2011-05-24,FAİZ_SABİT,TCMB PPK (Faiz %6.25 Sabit),,686.91,645.61,630.46,615.9,-6.01,0.63,-2.35,-4.6
2011-06-12,SEÇİM,12 Haziran 2011 Genel Seçimleri,24. Dönem Milletvekili Genel Seçimleri.,656.43,635.23,610.07,632.61,-3.23,-2.33,-3.96,-0.41
2011-06-23,FAİZ_SABİT,TCMB PPK (Faiz %6.25 Sabit),,636.09,615.9,632.69,610.47,-3.17,1.4,2.73,-0.88
2011-07-21,FAİZ_SABİT,TCMB PPK (Faiz %6.25 Sabit),,612.18,608.82,625.31,532.87,-0.55,-2.98,2.71,-12.48
